Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strains],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,Position
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos136],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos136.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos136
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos137],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos137.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos137
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos138],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos138.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos138
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos139],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos139.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos139
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos140],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos140.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos140
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos141],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos141.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos141
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos142],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos142.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos142
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos143],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos143.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos143
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos144],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos144.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos144
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos145],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos145.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos145
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos201],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos201.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos201
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos202],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos202.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos202
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos203],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos203.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos203
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos204],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos204.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos204
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos205],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos205.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos205
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos206],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos206.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos206
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos207],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos207.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos207
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos208],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos208.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos208
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos209],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos209.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos209
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos210],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos210.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos210
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos211],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos211.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos211
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos212],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos212.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos212
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos213],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos213.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos213
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos214],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos214.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos214
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos215],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos215.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos215
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos216],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos216.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos216
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos217],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos217.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos217
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos218],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos218.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos218
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos219],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos219.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos219
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos220],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos220.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos220
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos221],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos221.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos221
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos222],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos222.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos222
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos223],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos223.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos223
